SiteEnergyUse(kBtu),NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,LargestPropertyUseTypeGFA,BuildingType,Neighborhood,PrimaryPropertyType,BuildingAge,SteamUse,Electricity,NaturalGas
7226362.5,1.0,12,88434,0,HOTEL,88434.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,89,1,1,1
8387933.0,1.0,11,103566,15064,HOTEL,83880.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,20,0,1,1
72587024.0,1.0,41,956110,196718,HOTEL,756493.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,47,1,1,1
6794584.0,1.0,10,61320,0,HOTEL,61320.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,90,1,1,1
14172606.0,1.0,18,175580,62000,HOTEL,123445.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,36,0,1,1
12086616.0,1.0,2,97288,37198,POLICE STATION,88830.0,NONRESIDENTIAL COS,DOWNTOWN,OTHER,17,0,1,1
5758795.0,1.0,11,83008,0,HOTEL,81352.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,90,0,1,1
6298131.5,1.0,8,102761,0,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,102761.0,NONRESIDENTIAL,DOWNTOWN,OTHER,90,1,1,1
13723820.0,1.0,15,163984,0,HOTEL,163984.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,112,0,1,1
16016644.0,1.0,11,153163,19279,HOTEL,133884.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,47,1,1,1
26941110.0,1.0,25,333176,61161,HOTEL,336640.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,18,1,1,1
6596057.5,1.0,9,65009,0,HOTEL,65009.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,88,1,1,1
22325364.0,1.0,33,315952,57600,HOTEL,295511.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,36,1,1,1
10750010.0,1.0,11,92190,25200,HOTEL,67390.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,94,1,1,1
18588860.0,1.0,11,412000,57000,LIBRARY,364913.0,NONRESIDENTIAL COS,DOWNTOWN,OTHER,12,1,1,0
9956396.0,1.0,6,103911,0,FITNESS CENTER/HEALTH CLUB/GYM,90000.0,NONRESIDENTIAL,DOWNTOWN,OTHER,86,1,1,1
33556756.0,1.0,28,416281,85000,HOTEL,348329.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,33,0,1,1
7606084.5,1.0,5,57452,0,SOCIAL/MEETING HALL,16442.0,NONRESIDENTIAL,DOWNTOWN,MIXED USE PROPERTY,109,1,1,1
10154608.0,1.0,10,104352,0,HOTEL,104352.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,100,1,1,1
44984468.0,1.0,10,540360,0,COURTHOUSE,537150.0,NONRESIDENTIAL,DOWNTOWN,OTHER,100,0,1,1
47859812.0,1.0,19,385274,0,OTHER,385274.0,NONRESIDENTIAL,DOWNTOWN,OTHER,31,0,1,1
1539478.5,1.0,2,56228,0,K-12 SCHOOL,58916.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,55,0,1,1
3663534.5,1.0,6,88592,30586,HOTEL,58006.0,NONRESIDENTIAL,NORTHEAST,HOTEL,15,0,1,1
11343686.0,1.0,7,126593,0,COLLEGE/UNIVERSITY,125000.0,NONRESIDENTIAL,DOWNTOWN,UNIVERSITY,88,0,1,1
1310236.625,1.0,2,67224,0,AUTOMOBILE DEALERSHIP,67224.0,NONRESIDENTIAL,DOWNTOWN,OTHER,86,0,1,0
5328051.5,1.0,8,158676,30301,HOTEL,112676.0,NONRESIDENTIAL,EAST,HOTEL,25,0,1,1
11061916.0,1.0,10,171866,38281,HOTEL,128909.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,15,0,1,1
4456714.5,1.0,5,68410,16200,HOTEL,47994.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,38,0,1,1
6779173.0,1.0,2,160645,0,K-12 SCHOOL,164229.0,SPS-DISTRICT K-12,NORTH,K-12 SCHOOL,67,0,1,1
0.0,1.0,2,51582,0,K-12 SCHOOL,55166.0,SPS-DISTRICT K-12,MAGNOLIA / QUEEN ANNE,K-12 SCHOOL,27,0,1,0
4145920.5,1.0,3,87262,0,OFFICE,40943.0,NONRESIDENTIAL,LAKE UNION,SMALL- AND MID-SIZED OFFICE,110,0,1,1
6668568.5,1.0,4,81871,0,HOTEL,81871.0,NONRESIDENTIAL,NORTHEAST,HOTEL,22,0,1,1
318364.8125,1.0,2,110356,0,SELF-STORAGE FACILITY,26225.0,NONRESIDENTIAL,NORTHEAST,SELF-STORAGE FACILITY,61,0,1,1
44731160.0,3.0,2,714095,0,NON-REFRIGERATED WAREHOUSE,616000.0,NONRESIDENTIAL,GREATER DUWAMISH,WAREHOUSE,55,0,1,0
1650279.25,1.0,2,54986,0,K-12 SCHOOL,54986.0,SPS-DISTRICT K-12,MAGNOLIA / QUEEN ANNE,K-12 SCHOOL,26,0,1,1
6399127.5,1.0,2,175565,0,K-12 SCHOOL,182861.0,SPS-DISTRICT K-12,NORTHEAST,K-12 SCHOOL,66,0,1,1
6186461.5,1.0,2,94900,0,OFFICE,55586.0,NONRESIDENTIAL,BALLARD,SMALL- AND MID-SIZED OFFICE,55,0,1,1
2951331.25,1.0,2,52554,0,OFFICE,51029.0,NONRESIDENTIAL,GREATER DUWAMISH,SMALL- AND MID-SIZED OFFICE,116,0,1,1
6994740.5,1.0,3,175015,0,K-12 SCHOOL,175015.0,NONRESIDENTIAL,NORTHWEST,K-12 SCHOOL,62,0,1,1
2158629.0,1.0,3,70586,0,SELF-STORAGE FACILITY,38439.0,NONRESIDENTIAL,DOWNTOWN,SELF-STORAGE FACILITY,105,0,1,1
16163194.0,1.0,24,332210,205970,HOTEL,348630.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,47,0,1,1
9536161.0,1.0,5,168115,0,OFFICE,103362.0,NONRESIDENTIAL,DOWNTOWN,LARGE OFFICE,43,0,1,0
1247362.0,1.0,2,57428,0,OTHER - MALL,51747.0,NONRESIDENTIAL,DOWNTOWN,OTHER,96,0,1,1
5071974.0,1.0,8,59400,0,OFFICE,34947.0,NONRESIDENTIAL,DOWNTOWN,SMALL- AND MID-SIZED OFFICE,106,0,1,0
15026196.0,1.0,2,52549,0,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,23500.0,NONRESIDENTIAL,DOWNTOWN,MIXED USE PROPERTY,90,0,1,1
4841347.5,1.0,20,98634,10043,HOTEL,83591.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,86,0,1,1
80469216.0,1.0,34,994212,146694,HOTEL,994212.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,34,1,1,1
5348309.0,1.0,7,71150,0,HOTEL,41340.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,31,0,1,1
5401277.5,1.0,7,122810,0,HOTEL,88360.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,108,0,1,1
5284343.5,1.0,5,113173,42546,HOTEL,70627.0,NONRESIDENTIAL,LAKE UNION,HOTEL,57,0,1,1
6715187.0,1.0,7,150453,34735,HOTEL,107547.0,NONRESIDENTIAL,LAKE UNION,HOTEL,16,0,1,1
5827595.5,1.0,6,116300,28200,HOTEL,88490.0,NONRESIDENTIAL,LAKE UNION,HOTEL,19,0,1,1
6836900.0,1.0,6,155602,36744,HOTEL,155602.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,HOTEL,18,0,1,1
3234787.75,1.0,3,56072,0,K-12 SCHOOL,56072.0,NONRESIDENTIAL,EAST,K-12 SCHOOL,105,0,1,1
5337334.0,1.0,4,122942,44891,HOTEL,78051.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,HOTEL,17,0,1,1
3375211.0,1.0,2,54984,0,OFFICE,54984.0,NONRESIDENTIAL,CENTRAL,SMALL- AND MID-SIZED OFFICE,54,0,1,1
42792072.0,1.0,5,217603,0,SENIOR CARE COMMUNITY,296313.0,NONRESIDENTIAL,SOUTHWEST,SENIOR CARE COMMUNITY,94,0,1,1
16402563.0,1.0,2,93397,0,SENIOR CARE COMMUNITY,93397.0,NONRESIDENTIAL,NORTHWEST,SENIOR CARE COMMUNITY,46,0,1,1
3706100.25,1.0,6,84103,20732,HOTEL,63371.0,NONRESIDENTIAL,LAKE UNION,HOTEL,8,0,1,1
0.0,1.0,2,53352,0,K-12 SCHOOL,65568.0,SPS-DISTRICT K-12,SOUTHWEST,K-12 SCHOOL,68,0,1,0
16701055.0,1.0,3,179014,0,MEDICAL OFFICE,179014.0,NONRESIDENTIAL,EAST,MEDICAL OFFICE,51,0,1,1
7258758.5,1.0,7,76631,0,HOTEL,76631.0,NONRESIDENTIAL,EAST,HOTEL,108,0,1,1
15473117.0,1.0,6,99780,9341,MEDICAL OFFICE,40174.0,NONRESIDENTIAL,EAST,MIXED USE PROPERTY,33,1,1,0
1049748.625,1.0,2,58320,0,RETAIL STORE,72072.0,NONRESIDENTIAL,LAKE UNION,RETAIL STORE,87,0,1,1
13795954.0,1.0,5,316306,0,OFFICE,261826.0,NONRESIDENTIAL,LAKE UNION,LARGE OFFICE,6,0,1,1
19459304.0,1.0,7,282863,44766,HOTEL,235788.0,NONRESIDENTIAL,LAKE UNION,HOTEL,26,0,1,1
23658978.0,1.0,1,389000,0,OTHER,368000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,54,1,1,1
8141155.5,1.0,1,91213,0,OTHER,65000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,54,1,1,0
20955026.0,1.0,5,396085,0,OTHER,278500.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,78,1,1,0
39605888.0,1.0,12,571329,0,OFFICE,598801.0,NONRESIDENTIAL,LAKE UNION,LARGE OFFICE,6,0,1,1
2726369.0,1.0,2,52000,0,OTHER,52000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,54,1,1,0
875943.3125,1.0,1,60696,0,OTHER,108000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,88,0,1,0
20723248.0,1.0,2,262048,0,OTHER,296000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,88,1,1,0
4166306.25,1.0,2,66240,2352,OFFICE,45900.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,SMALL- AND MID-SIZED OFFICE,30,0,1,0
36667044.0,1.0,6,920598,303707,OFFICE,729584.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,LARGE OFFICE,6,0,1,1
3476212.5,1.0,4,76213,25930,OFFICE,48546.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,SMALL- AND MID-SIZED OFFICE,46,0,1,1
