TotalGHGEmissions,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,LargestPropertyUseTypeGFA,BuildingType,Neighborhood,PrimaryPropertyType,BuildingAge,SteamUse,Electricity,NaturalGas,ENERGYSTARScore
249.98,1.0,12,88434,0,HOTEL,88434.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,89,1,1,1,60.0
295.86,1.0,11,103566,15064,HOTEL,83880.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,20,0,1,1,61.0
2089.28,1.0,41,956110,196718,HOTEL,756493.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,47,1,1,1,43.0
286.43,1.0,10,61320,0,HOTEL,61320.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,90,1,1,1,56.0
505.01,1.0,18,175580,62000,HOTEL,123445.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,36,0,1,1,75.0
301.81,1.0,2,97288,37198,POLICE STATION,88830.0,NONRESIDENTIAL COS,DOWNTOWN,OTHER,17,0,1,1,
176.14,1.0,11,83008,0,HOTEL,81352.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,90,0,1,1,27.0
221.51,1.0,8,102761,0,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,102761.0,NONRESIDENTIAL,DOWNTOWN,OTHER,90,1,1,1,
392.16,1.0,15,163984,0,HOTEL,163984.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,112,0,1,1,43.0
691.26,1.0,11,153163,19279,HOTEL,133884.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,47,1,1,1,30.0
740.97,1.0,25,333176,61161,HOTEL,336640.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,18,1,1,1,36.0
328.23,1.0,9,65009,0,HOTEL,65009.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,88,1,1,1,48.0
648.62,1.0,33,315952,57600,HOTEL,295511.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,36,1,1,1,58.0
511.39,1.0,11,92190,25200,HOTEL,67390.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,94,1,1,1,35.0
